x,angle_deg
0,0.0
1,0.5337961658327891
2,1.0719373183299665
3,1.6143806266685914
4,2.161079488226494
5,2.7119834674448895
6,3.26703824051487
7,3.826185546330109
8,4.389363144167963
9,4.956504778541423
10,5.527540151656126
11,6.102394903899119
12,6.680990602761529
13,7.263244740584551
14,7.849070741488897
15,8.438377977823935
16,9.03107179644063
17,9.627053555058048
18,10.22622066895565
19,10.82846666818187
20,11.433681265426689
21,12.0417504346559
22,12.652556500557967
23,13.265978238800097
24,13.881890987035842
25,14.500166766552589
26,15.120674414386519
27,15.74327972567912
28,16.367845605986748
29,16.994232233199632
30,17.622297228668277
31,18.251895837078525
32,18.88288111456364
33,19.515104124487678
34,20.14841414028782
35,20.782658854713954
36,21.41768459476509
37,22.053336541581796
38,22.689458954521477
39,23.3258953986147
40,23.962488974578164
41,24.599082550541674
42,25.23551899463489
43,25.87164140757455
44,26.50729335439128
45,27.14231909444243
46,27.776563808868534
47,28.409873824668665
48,29.04209683459277
49,29.67308211207782
50,30.30268072048809
51,30.930745715956725
52,31.557132343169634
53,32.18169822347724
54,32.80430353476985
55,33.42481118260381
56,34.043086962120505
57,34.65899971035631
58,35.27242144859839
59,35.8832275145005
60,36.49129668372969
61,37.096511280974504
62,37.698757280200766
63,38.297924394098295
64,38.89390615271574
65,39.486599971332446
66,40.07590720766748
67,40.6617332085718
68,41.243987346394825
69,41.82258304525725
70,42.397437797500196
71,42.96847317061497
72,43.53561480498838
73,44.09879240282632
74,44.657939708641464
75,45.21299448171142
76,45.763898460929994
77,46.310597322487595
78,46.85304063082651
79,47.39118178332359
80,47.92497794915637
